id,name
1,Võ Văn Kiệt
2,Quốc lộ 13
3,Đinh Bộ Lĩnh
4,Xô Viết Nghệ Tĩnh
5,Phạm Văn Đồng
6,Nguyễn Xí
7,Chu Văn An
8,Xa lộ Hà Nội
9,Võ Nguyên Giáp
10,Mai Chí Thọ
11,Nguyễn Thị Định
12,Đồng Văn Cống
13,Nguyễn Duy Trinh
14,Vành đai 2
15,Liên Phường
16,Võ Chí Công
17,Đỗ Xuân Hợp
18,Lã Xuân Oai
19,Nguyễn Xiển
20,Quốc lộ 22
21,Trường Chinh
22,Cộng Hòa
23,Hoàng Văn Thụ
24,Quang Trung
25,Tô Ký
26,Nguyễn Ảnh Thủ
27,Phan Văn Hớn
28,Lý Thái Tổ
29,Quốc lộ 1A Bình Chánh
30,Kinh Dương Vương
31,An Dương Vương
32,Nguyễn Văn Linh
33,Hồng Bàng
34,Nguyễn Hữu Thọ
35,Huỳnh Tấn Phát
36,Nguyễn Chí Thanh
37,Nguyễn Tất Thành
38,Tôn Đức Thắng
39,Khánh Hội
40,Điện Biên Phủ
41,Nguyễn Thị Minh Khai
42,Võ Thị Sáu
43,Nam Kỳ Khởi Nghĩa
44,Hai Bà Trưng
45,Pasteur
46,Cách Mạng Tháng Tám
47,Lý Thường Kiệt
48,Ba Tháng Hai
49,Nguyễn Văn Cừ
50,Trần Hưng Đạo
51,Tân Kỳ Tân Quý
52,Tân Sơn Nhì
53,Lê Tấn Quốc
54,Lê Trọng Tấn
55,Nguyễn Cửu Đàm
56,Nguyễn Quý Anh
57,Cầu Xéo
58,Diệp Minh Châu
59,Trương Vĩnh Ký
60,Gò Dầu
61,Độc Lập
62,Luỹ Bán Bích
63,Vườn Lài
64,Thống Nhất
65,Hồng Lạc
66,Âu Cơ
67,Thoại Ngọc Hầu
68,Đồng Đen
69,Lạc Long Quân
70,Phan Huy Ích
71,Trương Công Định
72,Hoàng Hoa Thám
73,C12 - Sân Bay
74,Bình Thới
75,Lãnh Binh Thăng
76,Ông ích Khiêm
77,Hoà Bình
78,Lê Đại Hành
79,Nguyễn Thị Nhỏ
80,Thiên Phước
81,Lữ Gia
82,Tô Hiến Thành
83,Thành Thái
84,Bắc Hải
85,Sư Vạn Hạnh
86,Đồng Nai
87,Hồ Bá Kiện
88,Nguyễn Tri Phương
89,3 Tháng 2
90,Lê Hồng Phong
91,Cao Thắng
92,Ngô Gia Tự
93,Hùng Vương
94,Trần Phú
95,Nguyễn Trãi
96,Minh Phụng
97,Bình Tiên
98,Phạm Phú Thứ
99,Hậu Giang
100,Nguyễn Thị Nhỏ Quận 6
101,Nguyễn Sơn
102,Văn Cao
103,Đặng Nguyên Cẩn
